Timestamp,Temperature_Celsius,Relative_Humidity,Date,Season,Wind,ApparentTemperature
2021-02-07 18:00:00,23.0,42.0,2021-02-07 18:00:00,winter,0.15,25.2
2021-02-08 00:00:00,21.0,48.0,2021-02-08 00:00:00,winter,0.15,23.3
2021-02-08 06:00:00,23.0,41.0,2021-02-08 06:00:00,winter,0.15,25.1
2021-02-08 12:00:00,24.0,37.0,2021-02-08 12:00:00,winter,0.15,25.9
2021-02-08 18:00:00,24.0,30.0,2021-02-08 18:00:00,winter,0.15,25.2
2021-02-09 00:00:00,21.0,27.0,2021-02-09 00:00:00,winter,0.15,21.3
2021-02-09 06:00:00,22.0,26.0,2021-02-09 06:00:00,winter,0.15,22.4
2021-02-09 12:00:00,23.0,31.0,2021-02-09 12:00:00,winter,0.15,24.1
2021-02-09 18:00:00,22.0,32.0,2021-02-09 18:00:00,winter,0.15,23.0
2021-02-10 00:00:00,20.0,42.0,2021-02-10 00:00:00,winter,0.15,21.5
2021-02-10 06:00:00,22.0,35.0,2021-02-10 06:00:00,winter,0.15,23.3
2021-02-10 12:00:00,24.0,34.0,2021-02-10 12:00:00,winter,0.15,25.6
2021-02-10 18:00:00,23.0,31.0,2021-02-10 18:00:00,winter,0.15,24.1
2021-02-11 00:00:00,22.0,37.0,2021-02-11 00:00:00,winter,0.15,23.5
2021-02-11 06:00:00,23.0,35.0,2021-02-11 06:00:00,winter,0.15,24.5
2021-02-11 12:00:00,24.0,32.0,2021-02-11 12:00:00,winter,0.15,25.4
2021-02-11 18:00:00,25.0,30.0,2021-02-11 18:00:00,winter,0.15,26.4
2021-02-12 00:00:00,20.0,37.0,2021-02-12 00:00:00,winter,0.15,21.1
2021-02-12 06:00:00,23.0,34.0,2021-02-12 06:00:00,winter,0.15,24.4
2021-02-12 12:00:00,24.0,33.0,2021-02-12 12:00:00,winter,0.15,25.5
2021-02-12 18:00:00,23.0,43.0,2021-02-12 18:00:00,winter,0.15,25.3
2021-02-13 00:00:00,21.0,46.0,2021-02-13 00:00:00,winter,0.15,23.1
2021-02-13 06:00:00,20.0,42.0,2021-02-13 06:00:00,winter,0.15,21.5
